Class,Covered under FICA?,Covered under SECA?
Minister,NO. Your ministerial earnings are exempt.,"YES, if you don't have an approved exemption from the IRS. NO, if you have an approved exemption."
Member of a religious order who hasn't taken a vow of poverty,NO. Your ministerial earnings are exempt.,"YES, if you don't have an approved exemption from the IRS. NO, if you have an approved exemption."
Member of a religious order who has taken a vow of poverty,"YES, if: • Your order elected FICA coverage for its members; or • You worked outside the order and the work wasn't required by, or done on behalf of, the order. NO, if neither of the above applies.",NO. Your ministerial earnings are exempt.
Christian Science practitioner or reader,NO. Your ministerial earnings are exempt.,"YES, if you don't have an approved exemption from the IRS. NO, if you have an approved exemption."
Religious worker (church employee),"YES, if your employer didn't elect to exclude you. NO, if your employer elected to exclude you.","YES, if your employer elected to exclude you from FICA. NO, if you are covered under FICA."
Member of a recognized religious sect,"YES, if you are an employee and don't have an approved exemption from the IRS. NO, if you have an approved exemption.","YES, if you are self-employed and don't have an approved exemption from the IRS. NO, if you have an approved exemption."
