Category,Members of the Clergy,Members of Recognized Religious Sects
How,File Form 4361,File Form 4029
When,"File by the due date (including extensions) of your income tax return for the second tax year in which you had at least $400 of net earnings from self-employment, any of which came from ministerial services",File anytime
Approval,"If approved, you will receive an approved copy of Form 4361","If approved, you will receive an approved copy of Form 4029"
Effective Date,"For all tax years after 1967 in which you have at least $400 of net earnings from self-employment, any of which came from ministerial services","For all tax years beginning with the first year you meet the eligibility requirements, discussed later"
