Timing,Actions Required
When you hire a household employee,Find out if the person can legally work in the United States. Find out if you need to withhold and pay federal taxes. Find out if you need to withhold and pay state taxes.
When you pay your household employee,Withhold social security and Medicare taxes. Withhold federal income tax. Decide how you will make tax payments. Keep records.
"By February 1, 2027","Get an employer identification number (EIN). Give your employee Copies B, C, and 2 of Form W-2. Send Copy A of Form W-2 with Form W-3 to the SSA. Don't send Form W-2 to the SSA if you didn't withhold federal income tax and the social security and Medicare wages were below $3,000 for 2026."
"By April 15, 2027","File Schedule H (Form 1040) with your 2026 federal income tax return (Form 1040, 1040-SR, 1040-SS, 1040-NR, or 1041). If you don't have to file a return, file Schedule H by itself."
