Question,Traditional IRA?,Roth IRA?
Is there an age limit on when I can open and contribute to a . . . . . . . . . . . . . . . .,"No. For tax years after 2019, you are able to contribute to your IRA even if you have reached age 70 1 / 2 or older. See Who Can Open a Traditional IRA? in chapter 1.",No. You can be any age. See Can You Contribute to a Roth IRA? in chapter 2.
"If I earned more than $7,000 in 2025 ($8,000 if I was age 50 or older by the end of 2025), is there a limit on how much I can contribute to a . . . . . . . . . . .","Yes. For 2025, you can contribute to a traditional IRA up to: • $7,000, or • $8,000 if you were age 50 or older by the end of 2025. There is no upper limit on how much you can earn and still contribute. See How Much Can Be Contributed? in chapter 1.","Yes. For 2025, you may be able to contribute to a Roth IRA up to: • $7,000, or • $8,000 if you were age 50 or older by the end of 2025, but the amount you can contribute may be less than that depending on your income, your filing status, and if you contribute to another IRA. See How Much Can Be Contributed? and Table 2-1 in chapter 2."
Can I deduct contributions to a . . . . . . .,"Yes. You may be able to deduct your contributions to a traditional IRA depending on your income, your filing status, whether you are covered by a retirement plan at work, and whether you receive social security benefits. See How Much Can You Deduct? in chapter 1.",No. You can never deduct contributions to a Roth IRA. See What Is a Roth IRA? in chapter 2.
Do I have to file a form just because I contribute to a . . . . . . . . . . . . . . . . . . . .,"Not unless you make nondeductible contributions to your traditional IRA. In that case, you must file Form 8606. See Nondeductible Contributions in chapter 1.",No. You don't have to file a form if you contribute to a Roth IRA. See Contributions not reported in chapter 2.
