"First, you must meet all the rules in this column.","First, you must meet all the rules in this column.","Second, you must meet all the rules in one of these columns, whichever applies.","Second, you must meet all the rules in one of these columns, whichever applies.","Third, you must meet the rule in this column."
Chapter 1. Rules for Everyone,Chapter 1. Rules for Everyone,Chapter 2. Rules if You Have a Qualifying Child,Chapter 3. Rules if You Do Not Have a Qualifying Child,Chapter 4. Figuring and Claiming the EIC
"1. Your adjusted gross income (AGI) must be less than: • $61,555 ($68,675 for married filing jointly) if you have three or more qualifying children who have valid social security numbers (SSNs), • $57,310 ($64,430 for married filing jointly) if you have two qualifying children who have valid SSNs, • $50,434 ($57,554 for married filing jointly) if you have one qualifying child who has a valid SSN, or • $19,104 ($26,214 for married filing jointly) if you don't have a qualifying child who has a valid SSN.","2. You must have a valid social security number (SSN) by the due date of your 2025 return (including extensions). 3. You must meet certain requirements if you are separated from your spouse and not filing a joint return. 4. You must be a U.S. citizen or resident alien all year. 5. You can't file Form 2555 (relating to foreign earned income). 6. Your investment income must be $11,950 or less. 7. You must have earned income.","8. Your child must meet the relationship, age, residency, and joint return tests. 9. Your qualifying child can't be used by more than one person to claim the EIC. 10. You can't be a qualifying child of another person.",11. You must meet the age requirements. 12. You can't be the dependent of another person. 13. You can't be a qualifying child of another person. 14. You must have lived in the United States more than half of the year.,"15. Your earned income must be less than: • $61,555 ($68,675 for married filing jointly) if you have three or more qualifying children who have valid SSNs, • $57,310 ($64,430 for married filing jointly) if you have two qualifying children who have valid SSNs, • $50,434 ($57,554 for married filing jointly) if you have one qualifying child who has a valid SSN, or • $19,104 ($26,214 for married filing jointly) if you don't have a qualifying child who has a valid SSN."
