Type of plan,Last date for contribution,Maximum contribution,Maximum deduction,When to set up plan
SEP,Due date of employer's return (including extensions).,"Smaller of $70,000 or 25% 1 of participant's compensation. 2",25% 1 of all participants' compensation. 2,Any time up to the due date of employer's return (including extensions).
SIMPLE IRA and SIMPLE 401(k),Salary reduction contributions: 30 days after the end of the month for which the contributions are to be made. 4 Matching or nonelective contributions: Due date of employer's return (including extensions).,"Employee contribution: Salary reduction contribution up to $16,500; $20,000 if age 50 or over (but not attaining age 60, 61, 62, or 63). Special salary reduction contribution limits apply for certain employers and are subject to a cost-of-living adjustment. Employer contribution: Either dollar-for-dollar matching contributions, up to 3% of employee's compensation, 3 or fixed nonelective contributions of 2% of compensation. 2 Higher matching and fixed nonelective contributions apply for certain employers who elect to allow higher salary reduction contributions. Additional nonelective contributions of a uniform percentage (up to 10% but",Same as maximum contribution.,"Any time between January 1 and October 1 of the calendar year. For a new employer coming into existence after October 1, as soon as administratively feasible."
Qualified Plan: Defined Contribution Plan,Elective deferral: Due date of employer's return (including extensions). 4 Employer contribution: Profit-sharing plan: Due date of employer's return (including extensions). Money purchase pension plan: 8 1 / 2 months after the end of the plan year.,"Employee contribution: Elective deferral up to $23,500; $31,000 if age 50 or over (but not attaining age 60, 61, 62, or 63). Employer contribution: Money purchase pension plan: Smaller of $70,000 or 100% 1 of participant's compensation. 2 Profit-sharing plan: Smaller of $70,000 or 100% 1 of participant's compensation. 2","25% 1 of all participants' compensation, 2 plus amount of elective deferrals made.","By the employer's tax-filing due date, including extensions, for the tax year."
Qualified Plan: Defined Benefit Plan,"Contributions must generally be paid in quarterly installments, due 15 days after the end of each quarter, with a final contribution due 8 1 / 2 months after the end of the plan year. See Minimum Funding Requirement in chapter 4.","Amount needed to provide an annual benefit no larger than the smaller of $280,000 or 100% of the participant's average compensation for the highest 3 consecutive calendar years.",Based on actuarial assumptions and computations.,By the employer's tax filing due date (although it's not best to set up after the minimum funding due date).
