Condition,IF you...,THEN you need to...
A,"Pay cash wages of $3,000 or more in 2026 to any one household employee. Don't count wages you pay to: • Your spouse, • Your child under the age of 21, • Your parent (see Wages not counted, later, for an exception), or • Any employee under the age of 18 at any time in 2026 (see Wages not counted, later, for an exception).",Withhold and pay social security and Medicare taxes. • The taxes are 15.3% of cash wages. • Your employee's share is 7.65%. (You can choose to pay it yourself and not withhold it.) • Your share is 7.65%.
B,"Pay total cash wages of $1,000 or more in any calendar quarter of 2025 or 2026 to household employees. Don't count wages you pay to: • Your spouse, • Your child under the age of 21, or • Your parent.","Pay FUTA tax. • The tax is 6% of cash wages. • Wages over $7,000 a year per employee aren't taxed. • You may also owe state unemployment tax."
